微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
ItY87yVRi,【江苏新增27例新型冠状病毒肺炎确诊病例】2020年2月12日0-24时，江苏省报告新型冠状病毒肺炎新增确诊病例27例。其中，轻型病例6例，普通型病例21例。新增出院病例37例。新增确诊病例中，南京市3例、无锡市1例、徐州市5例、常州市2例、苏州市1例、南通市1例、连云港市3例、淮安市4例、盐城市4例、扬州市2例、泰州市1例。其中，年龄最大的91岁，最小的7岁。男性17人，女性10人。所有病例均已在定点医院救治，病情平稳。截至2月12日24时，江苏省累计报告新型冠状病毒肺炎确诊病例570例。其中，轻型病例45例，普通型病例516例，重型病例6例，危重型病例3例。出院病例131例。确诊病例中，南京市90例、无锡市49例、徐州市71例、常州市38例、苏州市85例、南通市38例、连云港市42例、淮安市51例、盐城市25例、扬州市20例、镇江市12例、泰州市37例、宿迁市12例。重型病例中，南京市1例、徐州市1例、苏州市1例、南通市1例、盐城市1例、镇江市1例。危重型病例中，徐州市1例、连云港市1例、淮安市1例。出院病例中，南京市24例、无锡市8例、徐州市16例、常州市11例、苏州市16例、南通市10例、连云港市5例、淮安市6例、盐城市6例、扬州市6例、镇江市2例、泰州市15例、宿迁市6例。目前，江苏省追踪到密切接触者11522人，已解除医学观察6969人，尚有4553人正在接受医学观察。专家提醒：近期仍然要坚持尽量不要外出，更要避免集聚。尽量避免使用公共交通，开私家车要注意开窗通风。少去密闭、通风不良的公共场所，在外要注意减少公共部位的接触。出门戴口罩，回家先洗手。随着企业复工，来苏返苏人员增多，建议要尽快登录“来苏返苏人员健康状况主动申报系统”，每日早晚两次申报健康状况。有条件的企业事业单位，可以统一组织申报。如果出现发热或咳嗽等症状，请尽快到定点发热门诊就医，并主动告知前2周的生活轨迹。@健康江苏 原图 ,,http://wx2.sinaimg.cn/large/d17838b9gy1gbuhcv29uvj20rs0bugtw.jpg,无,无,2020-02-13 08:43,微博 weibo.com,357,12,190
ItXPoybRB,#阻击疫情 徐州在行动# 【昨晚，“徐州经验”再登央视《新闻联播》】2月12日晚，央视《新闻联播》播出新闻报道《防疫生产两不误 各地积极推进复工复产》，梳理各地在加强疫情防控的同时，出台精准帮扶措施，帮助企业复工复产的经验和亮点。其中，重点关注了徐州近期出台的支持中小企业发展的21项措施。Via.央视新闻  http://t.cn/A6hUfAjS ,,无,无,无,2020-02-13 07:57,微博视频号,48,15,6
ItXs0gsBO,#早安徐州#【注意！#2020年首场寒潮来袭#】据@徐州气象 预报，今晨我市部分地区有雾，白天以多云为主，南到东南风3到4级，气温5℃到18℃，夜里到14日多云转阴有小到中雨，15日阴有中到大雪！另据中央气象台发布的数据，2月13日至16日，强寒潮天气将自北向南影响我国，中东部地区将出现大范围雨雪和大风、强降温天气。今天中央气象台很可能会连续发布四个天气预警，因为此次雨雪和降温范围较广，降水相态复杂、部分地区累计降水量大，且降温幅度剧烈。请大家注意防寒保暖！ [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/d17838b9gy1gbtv5hmw9lj20j60aswf4.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbtv5hkiqkj20j60aswf6.jpg",无,无,2020-02-13 07:00,微博 weibo.com,28,15,4
ItUvlw3MK,【#生产一线也是抗疫前线#】农民，为生产辛勤耕耘；车间工人，为生产加班加点；技术人员，为生产争分夺秒；养路工人，为生产一丝不苟……生产一线同样是抗疫前线，#谢谢每个平凡的中国人#！ Via.@人民日报  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/d17838b9gy1gbtv6vixzbj20j60y37di.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbtv6vjqaqj20j60y30zp.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbtv6vi6kaj20j60y341r.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbtv6vn22fj20j60y3jvu.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbtv6viaz8j20j60y378g.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gbtv6vmgx8j20j60y30xe.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbtv6vq0gej20j60y3jvv.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gbtv6vwc0wj20j60y342a.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbtv6vyahaj20j60y343j.jpg",无,无,2020-02-12 23:30,微博 weibo.com,32,13,5
ItUjbbL2E,#阻击疫情 徐州在行动# 【庄兆林主持召开市新冠肺炎疫情防控应急指挥部视频调度会】2月12日下午，市长、市新冠肺炎疫情防控应急指挥部总指挥庄兆林主持召开视频调度会，总结前一阶段工作，部署下一步疫情防控和复工复产工作。 坚持“两手抓、两手硬” 努力推动经济社会平稳健康发展  ,,无,无,无,2020-02-12 23:00,微博 weibo.com,9,6,6
ItTUPczbh,#阻击疫情 徐州在行动# 【一居民拒绝登记，硬闯小区，辱骂他人，被云龙警方拘留5天】2月9日下午，徐州市云龙区居民李某某（男，66岁）欲进入云龙区建国小区访友，在经过建国小区西门的防控卡点时拒绝配合登记检查，硬闯小区并辱骂疫情防控人员，被公安机关依法行政拘留五日。  原图 ,,http://wx1.sinaimg.cn/large/d17838b9gy1gbttiyl42jj20e00m8mym.jpg,无,无,2020-02-12 22:00,微博 weibo.com,124,8,25
ItTIUsHAb,#阻击疫情 徐州在行动# 【周铁根调研检查疫情防控和企业复工复产情况】“员工到岗情况怎样？”“实施了哪些防控举措？”“生产和销售还有哪些难题？”2月12日下午，市委书记周铁根深入部分企业调研检查疫情防控和复工复产情况时强调，各地各部门和广大企业要坚持一手抓防控、一手抓复工，在严格履行主体责任、有效落实防控举措的基础上，有力有序推进复工复产，确保“两手抓、两不误”，努力为全市疫情防控和经济发展大局提供坚实保障。 http://t.cn/A6hyJEzw ,,无,无,无,2020-02-12 21:30,微博 weibo.com,31,7,15
ItTwtfaOI,#阻击疫情 徐州在行动#【一天三次消毒！这些外卖小哥搭起了徐州人的“补给线”】随着小区开始封闭管理，徐州市民居家闭户，很多人的日常饮食和购物需求都通过外卖和骑手跑腿等形式来完成。这些被大家称为“外卖小哥”的骑手们，搭起了生活物资与大众的桥梁，在这次疫情中，他们是如何保障自己和市民们的健康呢？据大徐了解，每天早上，徐州的骑手们在开工前先要测量体温，对外卖箱进行消毒，戴上口罩，随后，外卖小哥对手、身体等全方位消毒。与此同时，现场工作环境也要进行一天三次消毒，让市民购买更放心。 http://t.cn/A6hyVAvq ,,无,无,无,2020-02-12 21:00,微博视频号,87,12,14
ItSJKoeJE,#阻击疫情 徐州在行动# 【市委常委会召开会议，研究讨论了这些事】2月11日，市委常委会召开会议，讨论市委常委会2020年工作要点，研究讨论《关于坚持“两手抓”统筹做好疫情防控和改革发展稳定工作的通知》和《关于抓好“三农”领域重点工作确保如期实现高水平全面建成小康的意见》，研究对厉恩伟、章良志同志进行表彰奖励事项。市委书记周铁根主持会议。 http://t.cn/A6hLFZCd ,,无,无,无,2020-02-12 19:00,微博 weibo.com,15,3,12
ItStqkplM,#阻击疫情 徐州在行动# 【紧急扩散！一高铁保洁员检测阳性，急寻接触者！！】近日徐州市疾病预防控制中心检测出一例新型冠状病毒核酸阳性患者：陶某某，女，安徽宿州市人，系上海华铁旅服公司保洁员，发病前曾在多趟高铁动车上班，目前徐州市疾病预防控制中心已向相关地区部门发出协查函，落实了相关密切接触者追踪管理措施，患者已追踪掌握的乘车轨迹如下：1、1月28日下午患者从宿州东-南京南乘高铁G1919（15:07-16:09），从南京南换乘G7451到杭州东（16:24-18:10），当晚值乘车次是G419杭州东-宁波（20:25-21:19），当值车厢为1-4车厢。2、1月29日值乘G420宁波-北京南（9:31-17:29），折返车次是G1569北京南-盐城（18:05-23:09），当值车厢均为1-4车厢。3、1月30日值乘盐城-北京南线路G1570（7:15-12:58），北京南-杭州东G419次（13:24-21:19），当值车厢均为1-4车厢。4、2月2日晚乘G419从杭州东-宁波（20:25-21:19），当值5-8车厢。5、2月3日值乘G420从宁波-北京南站（9:31-17:29），接着值乘G1569北京南-盐城（18:05-23:09），当值5-8车厢。6、2月4日值乘G1570盐城-北京南站（7:15-12:58），接着值乘G419北京南-杭州东（13:24-20：13），当值5-8车厢。7、2月7号晚值乘G419杭州东-宁波（20:25-21:19），当值5-8车厢。8、2月8号值乘G420宁波-北京南（9:31-17:29），折返车次是G1569北京南-盐城（18:05-23:09），当值11-16车厢。因出现发烧，21:03至徐州东站下车就医后被隔离。现提醒有以上共同出行史及活动轨迹的人员注意：1、请主动到所在地社区、村委会进行报备，并联系当地疾控中心，按照当地政府的统一安排做好隔离观察措施，隔离观察日期自离开交通工具开始14天。2、徐州市的上述可疑暴露者可以向徐州市及属地疾控机构咨询。徐州市：12320鼓楼区：85867221云龙区：83826573泉山区：68959922铜山区：83405271贾汪区：15150061123徐州经济技术开发区：87735663丰县：89222271沛县：89633980睢宁县：88333923邳州市：86221226新沂市：88922858徐州市疾病预防控制中心2020年2月12日 原图 ,,http://wx4.sinaimg.cn/large/d17838b9gy1gbtsdno54cj20hs0a0mye.jpg,无,无,2020-02-12 18:19,微博 weibo.com,171,36,66
ItSpXgI2i,#阻击疫情 徐州在行动# 【市委市政府重要通知】徐州市委市政府印发《关于坚持“两手抓”统筹做好疫情防控和改革发展稳定工作的通知》，内容要点摘编如下↓↓↓ 关于坚持“两手抓”统筹做好疫情防控和改革发展稳定工作的通知  ,,无,无,无,2020-02-12 18:11,微博 weibo.com,35,5,18
ItS5ahee5,#阻击疫情 徐州在行动# 【#防疫百事通#（第十二期）：徐州市外地务工人员返徐就业政策】受新冠肺炎疫情影响，我市在外就业创业人员无法及时返程返岗，市政府鼓励在外就业创业人员返徐就业、就近就业。为解决返徐就业创业人员的后顾之忧，市人社局针对返徐就业创业人员的社保缴纳、就业服务等问题进行专题解读。 [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/d17838b9gy1gbtokpkhp9j20hs1oy10f.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gbtolcvepyj208c08ct90.jpg",无,无,2020-02-12 17:20,微博 weibo.com,31,11,6
ItROVxkPT,#阻击疫情 徐州在行动# 【最美的逆行，是并肩作战】❤️时间：2020年2月11日早晨地点：徐医附院NCP隔离病房大楼人物：丈夫是徐州市公安局一名交警，在疫情查控点已经连续工作了十几天。妻子是感染性疾病科护士，从收治第一例病人起，王淑文和全科医护人员一样都没有回过家。都在战“疫”一线的夫妻俩有十多天没见面了，当天早晨上班前，两人在隔离病房大楼内外，隔着玻璃匆匆见上一面。 原图 ,,http://wx3.sinaimg.cn/large/d17838b9gy1gbtmv6t1uxj20j60p0q7q.jpg,无,无,2020-02-12 16:40,微博 weibo.com,194,21,17
ItRznDYtQ,#阻击疫情 徐州在行动#  2月12日，徐州市6例新冠肺炎确诊患者治愈出院，徐医附院3例、徐州市传染病医院3例。截至目前，徐州市治愈出院人数累计达到16人。  原图 ,,http://wx1.sinaimg.cn/large/d17838b9gy1gbtoe6hq47j20rs0butc4.jpg,无,无,2020-02-12 16:01,微博 weibo.com,109,10,42
ItRt4oWs2,"#阻击疫情 徐州在行动# 【致敬！驰援武汉的徐州陈伟获江苏“最美医护工作者”称号】没有观众，更没有掌声，有的只是满怀的敬意和必胜的信心 ······ 这是一场特殊的 "" 云发布 ""，主角是在武汉前方的白衣战士们。2月11日，由中共江苏省委宣传部、江苏省卫生健康委员会主办，现代快报、江苏城市频道承办的《江苏最美人物》播出。发布会上，中共江苏省委宣传部、江苏省卫生健康委员会决定，授予江苏援湖北医疗队孙立群、王谦、贾凌、陶连珊、陈伟 5 位同志江苏 "" 最美医护工作者 "" 荣誉称号。来自徐州市儿童医院感染管理科的陈伟，负责两家医院和住地酒店的全部感染控制工作，被称作 “ 医生的医生 ”。 原图 ",,http://wx3.sinaimg.cn/large/d17838b9gy1gbtny1tj7yj20c80lq770.jpg,无,无,2020-02-12 15:46,微博 weibo.com,35,6,8
ItQHllegW,#阻击疫情 徐州在行动# 【暖心！徐州上山村这对夫妻为一线工作者送免费午餐】“你们吃饱了，才有劲儿防疫，喜欢吃，明天我还送来！”11日中午，徐州经济技术开发区金龙湖街道上山村的曹贵波、马慧夫妇给疫情防控值班人员送来了热腾腾的午饭。上山村的疫情防控工作每天都在紧张进行着，居民曹贵波和马慧夫妇看到工作人员天天坚守在岗位上，决定免费为防控值班人员做午餐，贡献自己的一份爱心。买菜、洗菜、切菜、炒菜，夫妇俩一早就起来开始忙乎。“大家都在为防疫出力，我也不能当个局外人，为防控人员送些热腾腾的饭菜，让他们吃饱吃好，以更大精力投入到工作中，我只是做了一点儿力所能及的事。”曹贵波说。 [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/d17838b9gy1gbtkj9r95gj20u00miac1.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbtkj9r7ccj20u00miq5b.jpg",无,无,2020-02-12 13:48,微博 weibo.com,41,3,5
ItPN6iLwF,#阻击疫情 徐州在行动# 【长江一线牵，苏黄心相连！！】黄石发布的微博视频  ,,无,无,无,2020-02-12 11:30,微博视频号,80,8,9
ItPoKjHVD,#阻击疫情 徐州在行动# 【请你看1000万徐州人的豪情！】2020年农历庚子年的春节，一场突如其来的疫情让原本欢欢喜喜迎新年的人们笼罩在了病毒的阴霾中。在战“疫”的关键时刻，特别能感受到一座城市的温度。“徐州发布”微博微信的留言区里，句句暖心的话，似一股股暖流，把万众一心、共克时艰的信心传递给每个人。“加油，我的徐州！加油武汉！加油中国！有情有义的徐州人民团结起来，战胜疫情！”的呼声刷爆留言区，满满的正能量。这一条条留言不仅是每一位徐州人的肺腑之言，更是对家乡、对武汉、对中国的美好祝愿。冰雪终将消融，春天正在路上，更美的徐州，正在踏春而来！ [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/d17838b9gy1gbtdjownu8j20ki124wgu.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbtdjoz6foj20ki0z6acf.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gbtdjowratj20hd0bejs2.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gbtdjowustj20hy09i0t9.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gbtdjoxzwjj20ki10pwgu.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbtdjoxun6j20ki0a8wf3.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gbtdjp2191j20ki0p8ta9.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbtdjp2f7tj20ki0r4wg2.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gbtdk6q3usj207i02raa4.jpg",无,无,2020-02-12 10:30,微博 weibo.com,87,9,27
ItP4321F9,#阻击疫情 徐州在行动#  【疫情通报（22号）】2020年2月11日0-24时，我市新增新型冠状病毒肺炎确诊病例3例，轻型病例1例，普通型病例2例。全市累计报告新型冠状病毒肺炎确诊病例66例，其中，有轻型病例1例，普通型病例63例，重型病例1例，危重型病例1例。目前治愈出院10例。已确诊病例中，按照病例管理地区划分，鼓楼区3例，云龙区5例，贾汪区7例，泉山区5例，丰县2例，沛县7例，睢宁县20例，新沂市2例，邳州市15例。目前追踪到密切接触者1928人，已解除医学观察1294人，尚有634人正在接受医学观察。新增病例情况患者1：李某，女，23岁，住睢宁县睢城镇温馨嘉苑，为确诊病例的密切接触者。1月28日上午、29日下午到县中医院内科门诊就诊。1月29日晚被隔离治疗。2月11日确诊为新型冠状病毒肺炎，现在定点医疗机构隔离治疗。患者2：杨某某，女，65岁，住睢宁县康馨花园小区东门对面巷子（清泉浴室附近），为确诊病例的密切接触者。1月23日11时许去东北小区菜市场。1月24日-28日正常骑车上下班。1月29日12时许去县人民医院消化科及食堂，短暂停留。1月30日-31日正常上下班。2月1日-2日居家未外出。2月3日17时许到县人民医院发热门诊就诊。2月4日-5日居家未外出。2月6日被隔离治疗。2月11日确诊为新型冠状病毒肺炎，现在定点医疗机构隔离治疗。患者3：刘某，女，20岁，住睢宁县幸福家园小区，为确诊病例的密切接触者。1月25日-29日正常骑车上下班。1月30日10时许曾至兴美广场东20米药店，晚上至中医院西百盛润家超市购物。1月30日晚被确定为密切接触者进行隔离医学观察。2月11日确诊为新型冠状病毒肺炎，现在定点医疗机构隔离治疗。抗击疫情，人人有责！请1月23日起，自省外入徐返徐的所有人员，立即主动申报健康状况！请广大市民继续加强自我保护，尽量不要外出、聚集，少去密闭、通风不良的公共场所。在外要注意减少公共部位的接触。出门戴口罩，回家先洗手。如果出现发热或咳嗽等症状，可及时拨打12320卫生热线咨询，必要时主动就医，并主动告知前2周的生活轨迹。同时注意不要盲目就医，更不要短期内到多家医疗机构就诊，避免不必要的交叉感染。                             徐州市疾病预防控制中心2020年2月12日 原图 ,,http://wx2.sinaimg.cn/large/d17838b9gy1gbtczuue7bj20rs0bugtw.jpg,无,无,2020-02-12 09:39,微博 weibo.com,462,21,213
ItOHqyAx3,#阻击疫情 徐州在行动# 【江苏新增28例新型冠状病毒肺炎确诊病例】2020年2月11日0-24时，江苏省报告新型冠状病毒肺炎新增确诊病例28例。其中，轻型病例5例，普通型病例23例。新增出院病例10例。新增确诊病例中，南京市3例、无锡市3例、徐州市3例、常州市5例、苏州市4例、南通市2例、连云港市2例、淮安市1例、盐城市3例、泰州市2例。其中，年龄最大的84岁，最小的23岁。男性12人，女性16人。所有病例均已在定点医院救治，病情平稳。截至2月11日24时，江苏省累计报告新型冠状病毒肺炎确诊病例543例。其中，轻型病例39例，普通型病例495例，重型病例6例，危重型病例3例。出院病例94例。确诊病例中，南京市87例、无锡市48例、徐州市66例、常州市36例、苏州市84例、南通市37例、连云港市39例、淮安市47例、盐城市21例、扬州市18例、镇江市12例、泰州市36例、宿迁市12例。重型病例中，南京市1例、徐州市1例、苏州市1例、南通市1例、盐城市1例、镇江市1例。危重型病例中，徐州市1例、连云港市1例、淮安市1例。出院病例中，南京市22例、无锡市4例、徐州市10例、常州市6例、苏州市13例、南通市5例、连云港市5例、淮安市6例、盐城市3例、扬州市6例、镇江市2例、泰州市6例、宿迁市6例。目前，江苏省追踪到密切接触者11302人，已解除医学观察6345人，尚有4957人在接受医学观察。专家提醒：近期仍然要坚持尽量不要外出，更要避免集聚。尽量避免使用公共交通，开私家车要注意开窗通风。少去密闭、通风不良的公共场所，在外要注意减少公共部位的接触。出门戴口罩，回家先洗手。随着企业复工，来苏返苏人员增多，建议要尽快登录“来苏返苏人员健康状况主动申报系统”，每日早晚两次申报健康状况。有条件的企业事业单位，可以统一组织申报。如果出现发热或咳嗽等症状，请尽快到定点发热门诊就医，并主动告知前2周的生活轨迹。 http://t.cn/RJyvSCk 显示地图 原图 ,,http://wx2.sinaimg.cn/large/d17838b9ly1gbtbpvrtmfj205k05kjrk.jpg,无,http://t.cn/RJyvSCk,2020-02-12 08:43,HUAWEI P30,129,13,70
ItO397vPV,#阻击疫情 徐州在行动#【徐州天气】14-15日我市有明显雨雪和大风降温天气，请注意防范！详情↓↓戳图了解  原图 ,,http://wx4.sinaimg.cn/large/d17838b9gy1gbsnczutbuj20j60y379q.jpg,无,无,2020-02-12 07:04,微博 weibo.com,38,10,8
ItKSFFt17,#阻击疫情 徐州在行动#【#返岗复工如何做好防护#？一段动画了解】近日，不少人已开启节后复工模式，在这个特殊的时期，如何做好防护？选择什么样的通勤方式？进入办公区域又有哪些要注意的？戳视频↓这份#上班防疫指南#送给你。应急管理部的微博视频  ,,无,无,无,2020-02-11 23:00,微博视频号,31,20,28
ItKynxuzn,#阻击疫情 徐州在行动#【他们是夫妻、父子、母女，是并肩作战的“战友”！】总有一种力量催人奋进，总有一些场景温暖人心。疫情笼罩之下，在我们身边每天都上演着一幕幕温暖而又感人的“逆行”故事。他们是夫妻、父子、父女，亦是并肩作战的“战友”，在这场没有硝烟的战争中，他们逆行而上、携手共进，抗击疫情。 [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/d17838b9gy1gbst2s3h8dj20u01hcwil.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gbst2rxrx7j20u01hcae7.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbst2ryps2j20u01hcwis.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gbst2rzrsmj20u01hcn26.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbst2s094jj20u01hcq62.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbst2s1saij20u01hcaer.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbst2s51f6j20u01hc0wd.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbst2s6rdpj20u01hc0ws.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbst2sbkloj20u01hcq6u.jpg",无,无,2020-02-11 22:10,微博 weibo.com,36,12,3
ItK7boWmY,#阻击疫情 徐州在行动#【战疫一线——县市区一把手在行动！】落实好企业复工复产各项防控措施，统筹推进疫情防控与经济发展、社会稳定各项工作仍是各地党政主要负责同志关注的重点。  [组图共10张] 原图 ,,"http://ww2.sinaimg.cn/large/d17838b9gy1gbsp0wr5m5j20dc14a4ci.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gbsp0ws6orj20dc136qfy.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gbsp0wtme5j20dc14agyb.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gbsp0wlvi6j20d20jmah5.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbsp0wuqf0j20dc13114v.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbsp0x20xcj20dc13htn7.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbsp0x2a79j20d80k6tew.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gbsp0xcrn4j20dc14g7l1.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbsp0xaroij20dc154h00.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbsp0xfek3j20dc13hgy1.jpg",无,无,2020-02-11 21:03,微博 weibo.com,25,4,8
ItJM52lJw,#防疫百事通#【使用网络线上教学系统遇到问题怎么办？】为应对新冠肺炎疫情防控，市教育局利用信息化手段，通过远程服务、线上送教等方式，实现“停课不停学”。近日，网民反映使用线上教学系统，直播平台出现网络拥堵、系统卡顿现象，个别教师网络直播软件运用不熟练等问题，就相关问题市教育局作出解答↓↓↓#阻击疫情 徐州在行动# 原图 ,,http://wx3.sinaimg.cn/large/d17838b9gy1gbsmkpcjahj20dc1ng7c9.jpg,无,无,2020-02-11 20:11,微博 weibo.com,11,5,3
ItJb8BOFr,#阻击疫情 徐州在行动#【全省首发】2月8日，一辆从俄罗斯乌兰乌德发运徐州铁路货运中心的木材进口班列（计48车）到达铜山站完成卸货，实现了抗击疫情期间全省中欧班列首发和首班回程班列，为当地木材加工企业顺利复工复产提供货源保障，标志着徐州号中欧班列逐步恢复常态运营，吹响了全市经济企稳向好发展号角。今年以来，徐州中欧班列围绕建设“江苏中欧班列汇集点”，创新机制、攻坚克难、砥砺奋进，全力推进中欧班列高质量开行，不断巩固和扩大“徐州号”中欧班列影响力。今年1月份，开行班列计7列、295车，较去年同期增长75%。2月份，受新型冠状病毒疫情影响，全国中欧班列均无法保障正常开行，徐州中欧班列克服各项困难，在做好作业人员健康防护工作的前提下，坚持为企业做好服务，在上海中铁集的支持和帮助下继续开行班列，保障地方龙头企业开拓海外市场的需求得到满足。2月份，徐州将组织徐工等企业出口班列3列以上，其中首列确定于2月16日开行，为全省首班去程班列，充分展示了徐州企业从生产到交通运输全产业链在非常时期克服困难积极进取的拼搏精神以及在疫情来临之时快速应对、科学管理的组织能力。 [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/d17838b9gy1gbsn1w2tg3j20u0140767.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbsn202q1tj20u0140tbz.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gbsn21m6ppj20u0140di2.jpg",无,无,2020-02-11 18:40,微博 weibo.com,171,10,25
ItIUUcz8i,#阻击疫情 徐州在行动#【再出征！去黄石！】 今天上午，徐州市赴黄石应急医疗队出征仪式举行。我市25名医疗队员紧急集结，赶赴黄石。市委书记周铁根、市长庄兆林参加出征仪式。 再出征！去黄石！  ,,无,无,无,2020-02-11 18:00,微博 weibo.com,148,16,39
ItILaeyir,#防疫百事通#【一图读懂：《预防新型冠状病毒感染口罩选择与使用技术指引》】新型冠状病毒科普知识↓↓↓  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/d17838b9gy1gbslbgk2qlj20kw2j0n47.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gbslbgfhv8j20kw2jc0yz.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gbslbgivhtj20kw371tim.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gbsmochdd0j208c08cq42.jpg",无,无,2020-02-11 17:36,微博 weibo.com,7,7,0
ItIknwqew,#阻击疫情 徐州在行动# 【绿健：百万元爱心奶捐赠徐州“战疫”一线人员】2月10日，绿健乳业抗击疫情慈善捐助仪式在徐州市慈善捐助服务中心举行。为保障一线各社区防控值守人员的身体健康，绿健乳业将为他们提供总计100.8万元的爱心牛奶，这批物资从牧场奶源、加工基地、销售配送全产业链都做好了消毒防疫措施。（徐州市相关慈善捐助全部透明化公示，详细查阅请戳→http://t.cn/A6hwzIcD） http://t.cn/A6hwzIJB ,,无,无,无,2020-02-11 16:30,微博视频号,62,5,9
ItHW1xZVG,#徐州生活#【发改委批复徐州轨交二期建设规划】发改委网站10日披露，为更好支撑徐州城市功能区发展，提升公共交通服务水平，完善城市综合交通运输体系，原则同意徐州市城市轨道交通第二期建设规划，建设3号线二期、4号线一期、5号线一期、6号线一期等4个项目，规划期为2019年至2024年。公告全文→http://t.cn/A6hPH3bh 原图 ,,http://wx4.sinaimg.cn/large/d17838b9gy1gbse1x36hkj20pb08u0tk.jpg,无,无,2020-02-11 15:30,微博 weibo.com,44,12,13
