微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IurZx06xH,【市区住建两级联动，高科技完善小区疫情防控体系】连日来，市、区两级住建部门联动，每天现场督查60至80个小区，重点督查小区实行封闭管理、小区人员进出配戴口罩，外来人员、外来车辆进入小区登记、小区重要部位消毒工作等措施是否落实到位。截至13日，依托常州市住房保障运营系统等大数据平台，我市完成6000余户保障房家庭排查，排查出168户返常人员，对其中10户实行居家隔离。 ,,无,无,无,2020-02-16 12:45,微博 weibo.com,125,0,33
IurDUlaVS,【相隔十天，一对夫妻患者先后在常州三院治愈出院】2月16日，常州市第三人民医院又传来好消息，又有9名新冠肺炎确诊患者治愈出院了。其中有一对小夫妻，妻子已经在十天前就痊愈了，但家人隔离不方便回去，丈夫还在治疗中，医院了解了他们的实际情况，专门为其妻子提供了单间病房休养，今天终于可以“夫妻双双把家还”了！ 原图 ,,http://wx1.sinaimg.cn/large/9bf793c7gy1gby3n7934hj20dc0r84an.jpg,无,无,2020-02-16 11:51,微博 weibo.com,76,4,29
IurueaT7c,【今天，常州又有9位确诊患者治愈出院！】2月16日，常州市第三人民医院也传来好消息，又有9名新冠肺炎确诊患者治愈出院了。其中一对父子和一对母女，他们的部分家人还在治疗过程中。今天，常州又有9位确诊患者治愈出院！  ,,无,无,无,2020-02-16 11:27,微博 weibo.com,168,0,29
IuqbMjqeT,#常州战疫# 疫情不退，我们不退！等到春和景明，一切都会好起来！ 常州·金百花园 微常州的微博视频  显示地图 ,,无,无,#常州战疫#,2020-02-16 08:09,iPhone客户端,92,10,7
Iuk4ofiRa,我在岗位，为祖国加油！我在岗位，为祖国加油！  ,,无,无,无,2020-02-15 16:35,专业版微博,43,1,6
Iuk4jdcrT,“有解放军来，我们好开心！”“有解放军来，我们好开心！”  ,,无,无,无,2020-02-15 16:34,专业版微博,5,0,0
IuhNhynps,你好，黄石，我们和你在一起你好，黄石，我们和你在一起  ,,无,无,无,2020-02-15 10:47,专业版微博,90,0,8
IuhN7dW3H,310名江苏支援黄石医疗队员挺进一线310名江苏支援黄石医疗队员挺进一线  ,,无,无,无,2020-02-15 10:47,专业版微博,21,6,9
IuhMXcDk4,吴政隆赴无锡常州调研企业复工复产和重大项目建设吴政隆赴无锡常州调研企业复工复产和重大项目建设 坚定信心众志成城坚决打赢防控阻击战 迎难而上精准施策有序推动复工复产  ,,无,无,无,2020-02-15 10:46,微博 weibo.com,10,4,4
Iuadp2mSB,【情况通报】根据江苏省卫生健康委2月14日发布，2020年2月13日0-24时，常州市新增新型冠状病毒肺炎确诊病例5例，全市累计报告新冠肺炎确诊病例43例。截至目前，常州市第三人民医院负压病房出院病例12人。其中，江苏省卫生健康委确诊新冠肺炎11例，市级专家组判定临床诊断病例1例。  新增病例情况病例39患者女性，长期居住于常州市金坛区尧塘街道。2月11日，新冠病毒检测结果为阳性，后由120转至市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者8人并实施医学观察。病例40患者男性，长期居住于常州市金坛区朱林镇。2月11日，新冠病毒检测结果为阳性，后由120转至市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者13人并实施医学观察。病例41患者女性，长期居住于昆山市花桥镇，现暂居住于常州市金坛区金城镇。2月11日，新冠病毒检测结果为阳性，后由120转至市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者8人并实施医学观察。病例42患者女性，长期居住于常州市金坛区金城镇。2月11日，新冠病毒检测结果为阳性，后由120转至市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者5人并实施医学观察。病例43患者男性，长期居住于常州市金坛区东城街道。2月12日，新冠病毒检测结果为阳性，后由120转至市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者13人并实施医学观察。以上病例的密切接触者均已接受集中隔离医学观察。 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/9bf793c7gy1gbvyqwyx47j20es0jqjs4.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gbvyqx02qrj20kh0lsdhg.jpg",无,无,2020-02-14 15:29,搜狗高速浏览器,2464,55,481
Iu8rC59m4,【原创MV|《#不要告诉我的妈妈#》】她们是英勇无畏、毅然逆行的白衣天使，是与时间赛跑、与病毒竞速的抗“疫”战士。她们是父母，也是孩子，她们一边义无反顾冲向一线，一边牵挂最爱的亲人。致敬，每一位#疫情中的逆行者#！盼你们全体平安归来！人民网的微博视频  ,,无,无,无,2020-02-14 10:59,微博视频号,518,3,117
Iu8ac3TDP,【齐家滨赴经开区检查企业复工和疫情防控情况】2月13日，市委书记、市委应对新冠肺炎疫情工作领导小组组长齐家滨赴常州经开区，检查企业复工和疫情防控时强调，当前是疫情防控关键时期、紧要当口，严防严控这根弦必须始终绷紧。在做好疫情防控的前提下，统筹做好“六稳”工作，将我市出台的助力企业恢复生产20条措施落细落实，按照有序精准可控的原则逐步推动企业复工复产，政企同心，坚决打赢疫情防控的人民战争总体战阻击战。 [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/9bf793c7gy1gbvpni5tvfj20go0b4my4.jpg,http://ww1.sinaimg.cn/large/9bf793c7gy1gbvpni58bnj20go0b4js4.jpg,http://ww4.sinaimg.cn/large/9bf793c7gy1gbvpnid3fqj20go0a00tp.jpg",无,无,2020-02-14 10:16,搜狗高速浏览器,67,3,37
Iu0RNDeCL,【感动！#支援湖北空军机组录音公开#：凯旋时再接你们回家】今日凌晨，军队支援湖北医疗队再次出征，又一批医疗队队员驰援武汉。执飞此次任务的空军运输机机组录音公开，“保护好自己！等到你们凯旋的时候，我们再接你们回家！”央视军事的微博视频  ,,无,无,无,2020-02-13 15:41,微博视频号,15,1,1
Iu0FguwSz,【关于紧急扩散寻找相关接触者的通知】广大市民朋友：我市在排查确诊的新型冠状病毒感染的病例时，进一步运用大数据手段，发现病例37、38的活动轨迹，现紧急寻找密切接触人员。病例37患儿女性，长期居住于常州市武进区牛塘镇，其与安徽省六安市某确诊病例（其二舅舅，已被收治入当地定点医院隔离治疗，病情稳定）有密切接触史。目前，该患儿在市定点医院隔离治疗，病情平稳。病例37行经路线：2020年1月21日23:00由家长自驾从常州返回安徽老家（安徽省六安市金寨县），1月22日11:00抵达六安市金寨县住处；1月22日-2月4日在安徽老家；2月4日23:00由家长自驾从安徽老家（安徽省六安市金寨县）接回常州，2月5日9:00抵达常州住处；2月5日上午到家后居家未外出；13:12由家长骑电动车带其前往常州二院城中院区儿科急诊就诊，逗留约1小时40分钟；15:10由家长骑电动车带其前往牛塘镇桃珠水果店购买水果，逗留约10分钟。其它时间居家未外出；2月6日-2月8日居家未外出；2月9日上午居家未外出；13:00由120送至武进区隔离观察点接受医学观察；2月10日16:00被转运至市定点医院接受隔离治疗。病例38患者男性，曾居住于常州市金坛区社头镇，现暂住于溧阳市别桥镇临时住处，其于1月27日-2月2日在金坛区人民医院就医。目前，该名患者在市定点医院隔离治疗，病情平稳。病例38行经路线：2020年1月27日-2月2日在金坛区人民医院住院就医；2月2日9:00出院后由朋友自驾送至金坛区社头镇老家。其它时间居家未外出；2月3日上午居家未外出，13:00由朋友自驾送至溧阳市别桥镇暂住处。其它时间居暂住处未外出；2月4日9:00步行前往人民药房（别桥桥西店），后至桥东菜场买菜，约30分钟。其它时间居暂住处未外出；2月5日居暂住处未外出；2月6日9:30步行前往人民药房（别桥桥西店），约20分钟。其它时间居暂住处未外出；2月7日9:00步行前往人民药房（别桥桥西店）对面水果店购买水果，约10分钟，后步行至北巷私人家中购买鸽子。其它时间居暂住处未外出；2月8日8:50步行前往青远超市（别桥店）购物，约10分钟。其它时间居暂住处未外出；2月9日10:30步行前往青远超市（别桥店）购物，约5分钟。其它时间居暂住处未外出；2月10日9:00步行前往人民药房（别桥桥西店），后至桥东菜场买菜，约30分钟。其它时间居暂住处未外出；2月11日白天居暂住处未外出；23:00起在市定点医院接受隔离治疗。现就目前掌握的病例行经轨迹紧急寻找相关可疑接触者。请在以上时段去过上述场所、且未做有效个人防护的居民，采取如下紧急防护措施：一、相关人员看到通知后暂不要外出，主动与属地村（社区）联系，做好信息登记，若接到卫健部门通知，请积极配合接受医学观察。如有发热、咳嗽等症状请佩戴医用外科口罩就近到网上公布的指定医院发热门诊就诊，主动告诉医生你可能与确诊的新型冠状病毒感染的肺炎病例密切接触。二、在赶赴医学观察途中或就诊过程中，要全程佩戴医用外科口罩，不要乘坐公共交通工具，如有困难，请电话请求当地疾病预防控制中心给予帮助。后续对确诊病例有公共出行轨迹的将继续分析，及时公告，咨询电话0519-12345。常州市新型冠状病毒感染的肺炎疫情防控应急指挥部2020年2月13日 ,,无,无,无,2020-02-13 15:10,搜狗高速浏览器,224,21,76
Iu0ao1cc6,【科普：快递会传播新型冠状病毒吗？】非常时期，很多人在收快递时都有或多或少的担心。其实一般情况下，快递包裹在运输过程中被新型冠状病毒污染的可能性较小。目前尚未有因接收快递而感染新冠肺炎的报道。在有新冠肺炎传播的地区，为避免传播风险，应采取以下预防措施。新华视点的微博视频  ,,无,无,无,2020-02-13 13:54,微博视频号,22,5,15
ItYVZ1wCQ,【情况通报】根据省卫健委2月13日发布，2020年2月12日0-24时，常州市新增新型冠状病毒肺炎确诊病例2例，全市累计报告新冠肺炎确诊病例38例，其中，出院病例12例。新增病例情况：病例37患者女性，长期居住于常州市武进区牛塘镇，其与安徽省六安市某确诊病例（其二舅舅，已被收治入当地定点医院隔离治疗，病情稳定）有密切接触史。该患者于1月21日自驾前往安徽老家（六安市金寨县）探亲，2月4日自驾返回常州，2月5日抵达常州住处。目前，该患者在市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者3人并实施医学观察。病例38患者男性，曾居住于常州市金坛区社头镇，现暂住于溧阳市别桥镇临时住处，其于1月27日-2月2日在金坛区人民医院就医。目前，该名患者在市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者35人并实施医学观察。以上病例行经路线正在排查中，核实后将及时发布。 [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/9bf793c7gy1gbukwh4m88j20g60n63zg.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gbukwhbtmaj20jq0d5jsd.jpg",无,无,2020-02-13 10:46,搜狗高速浏览器,136,9,84
ItT0IEcDM,【关于紧急扩散寻找相关接触者的通知】广大市民朋友：我市在排查确诊的新型冠状病毒感染的病例时，进一步运用大数据手段，发现病例32的活动轨迹，现紧急寻找密切接触人员。  原图 ,,http://wx4.sinaimg.cn/large/9bf793c7gy1gbtuqsq26bj20dc16wah0.jpg,无,无,2020-02-12 19:41,360安全浏览器,575,18,154
ItRropLzv,【情况通报】根据省卫健委2月12日发布，2020年2月11日0-24时，常州市新增新型冠状病毒肺炎确诊病例5例，全市累计报告新冠肺炎确诊病例36例，其中，出院病例12例。新增病例情况：病例32患者男性，35岁，长期居住于常州市武进区湖塘镇，其与无锡某确诊病例（病情平稳，已收治到无锡市定点医院）有密切接触史。该患者曾报名某旅行团（无锡某确诊病例同在旅行团）并于1月19日乘坐飞机前往日本游玩，1月24日返回常州住处。目前，该名患者在市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者15人并实施医学观察。病例33患者女性，27岁，长期居住于常州市金坛区东城街道，为当地医疗机构护士，因发热、咳嗽到本院就诊。目前，该名患者在市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者109人并实施医学观察。病例34患者女性，24岁，长期居住于常州市金坛区西城街道，其与病例33有密切接触史，具体情况仍需进一步调查。目前，该名患者在市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者8人并实施医学观察。病例35患者男性，56岁，长期居住于常州市金坛区薛埠镇，其与病例33有密切接触史，具体情况仍需进一步调查。目前，该名患者在市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者3人并实施医学观察。病例36患者女性，53岁，长期居住于常州市金坛区东城街道，其与病例33有密切接触史，具体情况仍需进一步调查。目前，该名患者在市定点医院隔离治疗，病情平稳。该患者已追踪到密切接触者17人并实施医学观察。以上病例行经路线正在排查中，核实后将及时发布。 [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/9bf793c7gy1gbtntqcmq7j20lv0plmyv.jpg,http://ww4.sinaimg.cn/large/9bf793c7gy1gbtntoakfij20qs126ta3.jpg",无,无,2020-02-12 15:42,搜狗高速浏览器,341,20,187
ItQZC05Nq,【陈金虎调研溧阳疫情防控和企业复工复产工作情况】2月11日，代理市长陈金虎赴溧阳走访调研部分重点企业，慰问一线防疫工作人员。他指出，要把疫情防控作为当前头等大事，在安全可控的前提下，精准有序推动企业复工复产，严格落实企业疫情防控主体责任，做到细致、细致、再细致，落实、落实、再落实，各方同舟共济、共抗疫情、共推发展。 原图 ,,http://wx1.sinaimg.cn/large/9bf793c7gy1gbtlujk746j20k00juq6f.jpg,无,无,2020-02-12 14:33,搜狗高速浏览器,31,1,14
ItPSZb6la,【常州新一批6例确诊患者治愈出院】今天上午11点多，常州的抗“疫”战线再次迎来好消息——又有6名新冠肺炎患者治愈出院。截至目前，常州共有12名确诊患者出院。据悉，出院的6名患者中，武进区1名，新北区1名，天宁区1名，经开区3名。  原图 ,,http://wx4.sinaimg.cn/large/9bf793c7gy1gbtgyef1vij21400u04bx.jpg,无,无,2020-02-12 11:44,搜狗高速浏览器,407,12,94
ItPo95e2k,【#钟南山回应潜伏期最长可达24天# 是极个别情况，一般患者潜伏期在2-7天】钟南山表示，文章中有提到潜伏期是0~24天，但实际上1099例样本中仅1例为24天，占比不到千分之一。以这仅有的1例患者报道的时间作为疾病的最长潜伏期是不够科学的。实际上，绝大多数的病人潜伏期是2~7天，中位数是4天。http://t.cn/A6hA9TqE ,,无,无,无,2020-02-12 10:28,微博视频号,13,2,4
ItPfI2q8w,【四六级成绩将于2月21日发布】#英语四六级成绩发布时间#日前，教育部考试中心发布了《2019年下半年全国大学英语四、六级考试（含口语）成绩发布通知》，通知明确，全国大学英语四、六级考试（含口语）成绩将于2020年2月21日上午10时发布 。转发周知！http://t.cn/A6hZi1uu  原图 ,,http://wx1.sinaimg.cn/large/9bf793c7gy1gbte5tlj5rj20hj0kdwez.jpg,无,无,2020-02-12 10:07,搜狗高速浏览器,33,2,22
ItOVCwVvH,"【齐家滨调研常州科教城企业复工及疫情防控工作】2月11日，市委书记、市委应对新冠肺炎疫情工作领导小组组长齐家滨在常州科教城实地调研企业复工和疫情防控工作。齐家滨先后来到康宁反应器技术有限公司和常州铭赛机器人科技股份有限公司两家高新技术企业，检查企业复工及疫情防控工作，要求企业“一手抓防疫不放松、一手抓发展不动摇”,落实落细疫情防控主体责任的同时，集中精力攻克一批核心装备、关键技术、高端产品,积极拓宽国内国际创新合作市场。 原图 ",,http://wx3.sinaimg.cn/large/9bf793c7gy1gbtcqgqi8rj20k00dytbe.jpg,无,无,2020-02-12 09:18,搜狗高速浏览器,11,1,3
ItKO5rySw,【关于举办全省新冠肺炎疫情防控消毒操作技术网络直播培训的通知 】接江苏省新冠肺炎疫情防控工作领导小组预防控制组通知，为切实落实新冠肺炎防控工作措施，科学规范开展各类场所、各重点部位消毒操作，将于2020年2月12日上午9：00—11:00，举办全省新冠肺炎消毒操作技术网络直播培训，培训内容为：（一）重点场所消毒技术操作指南；（二）口罩分类和使用方法，直播地址http://t.cn/A6hwVPe6（中国江苏网提供），或识别下方二维码进入直播。 原图 ,,http://wx2.sinaimg.cn/large/9bf793c7gy1gbsuj9pxmgj20e60e874m.jpg,无,无,2020-02-11 22:48,360安全浏览器,22,6,4
ItIcljcEG,注意！一人隐瞒病情会让无数人陷入险境！以下六张图很重要！  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/9bf793c7gy1gbsiyho2usj20j60uomyn.jpg,http://ww1.sinaimg.cn/large/9bf793c7gy1gbsiyhnid6j20j60uojt3.jpg,http://ww3.sinaimg.cn/large/9bf793c7gy1gbsiyhnymoj20j60uowg0.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gbsiyhmkd8j20j60uodh1.jpg,http://ww1.sinaimg.cn/large/9bf793c7gy1gbsiyhnwpcj20j60uo3zu.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gbsiyhmzz0j20j60uomyg.jpg",无,无,2020-02-11 16:10,搜狗高速浏览器,26,7,6
ItI6LzHfq,【#居家隔离注意事项#有哪些？如果出现特殊状况，该跟谁联系？】中国医师协会全科分会会长杜雪平：每天检测体温两次，室内通风两次，注意个人卫生。遵守爱国卫生和健康公约，出现问题找居委会干部、基层医疗机构、家庭医生。必要的隔离是为了每个人负责。人民日报的微博视频  ,,无,无,无,2020-02-11 15:56,微博视频号,6,1,0
ItAaq5moI,【我市完成第一笔旅游服务质量保证金退款  推行不见面办理 】为支持我市旅行社战胜疫情、渡过难关，常州市文化广电和旅游局按要求向全市旅行社暂退部分旅游服务质量保证金，帮助企业快速摆脱疫情带来的不利影响，保持经营稳定健康发展。2月10日，我市第一笔暂退的旅游服务质量保证金已经办好寄出，为企业克服当前困难，持续经营奠定了扎实的基础。获悉，我市第一笔暂退的旅游服务质量保证金金额8万元，接受方为常州青鸟商务国际旅行社有限公司。本次暂退旅游服务质量保证金范围为全市所有已依法交纳旅游服务质量保证金、领取旅行社业务经营许可证的旅行社。暂退标准为现有交纳数额的80%。同时要求接受暂退保证金的各旅行社在2022年2月5日前将本次暂退的保证金如数交还。 为有效防控疫情，避免人员密集交叉感染，同时提高办事效率，此次暂退工作将采取在线或邮寄等远程办理方式。符合条件的全市各旅行社按照国家文旅部通知要求向常州市文化广电和旅游局提出申请，常州市文化广电和旅游局将在收到申请的当日办结并回寄给旅行社，企业即可去相关银行办理取款手续。 ,,无,无,无,2020-02-10 19:43,专业版微博,50,0,15
ItzEZkZ97,【一图看懂！复工防疫指南来了】本周，不少人已开启节后复工模式。通勤路上如何防护？办公室里要注意哪些细节？在食堂用餐应规避哪些风险？收好下面这份复工防疫守则！  原图 ,,http://wx3.sinaimg.cn/large/9bf793c7gy1gbrhbqk9n4j20fk0rnk01.jpg,无,无,2020-02-10 18:26,专业版微博,33,5,22
Itz4ikhO2,【齐家滨检查我市外资企业复产情况】2月10日是我市企业复工复产的第一天。上午，市委书记、市委应对新型冠状病毒感染肺炎疫情工作领导小组组长齐家滨到常州高新区4家外资企业，实地检查复工复产和疫情防控情况。他强调，企业复工复产是对疫情防控的重大考验，要坚决贯彻落实中央的决策部署和省委、省政府的工作要求，在严格按照一级响应要求做好疫情防控的前提下，抓好企业有序复工，切实维护正常经济社会秩序。同时希望外资企业发挥标准规范、严格管理的优势，做到疫情防控“四个到位”，为全市企业做出示范。 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/9bf793c7gy1gbreprhsysj20go0b3wga.jpg,http://ww4.sinaimg.cn/large/9bf793c7gy1gbreps2wsnj20go0b375m.jpg",无,无,2020-02-10 16:55,搜狗高速浏览器,20,0,13
Ityn5Fwya,#通报曝光#常州市钟楼区原环境保护局局长张社华被移送检察机关审查起诉。日前，常州市纪委监委对常州市钟楼区原环境保护局局长张社华严重违纪违法问题审查调查终结，其涉嫌受贿犯罪等问题已移送检察机关依法审查起诉。  原图 ,,http://wx3.sinaimg.cn/large/9bf793c7gy1gbrbn1vnm5j20xa0i1dnh.jpg,无,无,2020-02-10 15:09,搜狗高速浏览器,46,2,4
ItycV7ztB,#交通信息#2月11日起，逐步复工期间常州公交运营适度增加班次根据疫情防控需要，统筹兼顾企业复工通勤出行需求，常州公交将于2020年2月11日起，对公交运营进行如下调整：1.运营线路：继续保留BRT网络系统线路（B1路、B10路、B11路、B12路、B13路，B2路、B22路、B23路）运营，其余常规公交线路暂停运营。2.服务时间：运营线路的首班发车时间从原先的7:00提前到6:00，末班时间保持不变，仍为18:00。3.发车间隔：上午6：00-9：00，下午16:30-18:00发车间隔调整为30分钟，其他时间发车间隔保持不变，仍为60分钟。后续根据疫情防控需要和实际客流的变化，对公交运营适时进行动态调整，具体调整情况请关注常州公交官网、常州行App及交通服务热线96196咨询了解。 ,,无,无,无,2020-02-10 14:44,搜狗高速浏览器,91,4,41
ItwSlqjD3,#警方通报#常州1人故意隐瞒返常和探亲行程，致3人确诊被立案侦查  原图 ,,http://wx2.sinaimg.cn/large/9bf793c7gy1gbr51a7b9hj20j60z7q75.jpg,无,无,2020-02-10 11:20,搜狗高速浏览器,59,4,29
ItwEs3zSZ,【国家邮政局：全国主要快递2月10日全面恢复正常运营】在中国邮政、顺丰速运、京东物流、苏宁物流正常运营的基础上，2月10日起，中通快递、圆通快递、申通快递、韵达速递以及百世快递将陆续恢复到正常运营模式。国家邮政局还公布了一张寄售企业网络恢复正常运营的时间表。（国家邮政局）  原图 ,,http://wx2.sinaimg.cn/large/9bf793c7gy1gbr41o08gfj20j60hmabn.jpg,无,无,2020-02-10 10:46,搜狗高速浏览器,58,5,38
ItwBpgC9b,【情况通报】根据省卫健委2月10日发布，截至2月9日24时，常州市新型冠状病毒肺炎累计确诊病例31例，其中，出院病例6例。 男性17例，女性14例。2月9日0-24时无新增病例。  原图 ,,http://wx4.sinaimg.cn/large/9bf793c7gy1gbr3tvbmbvj20u020faqa.jpg,无,无,2020-02-10 10:39,搜狗高速浏览器,49,5,8
ItwjRfH2c,【常州首批中医医疗队一行10人奔赴武汉某方舱医院】2月9日，常州市卫生健康委接江苏省中医药管理局紧急通知，立即组建并派出中医医疗队驰援湖北。2月10日清晨，来自于常州市中医医药、武进中医医院10名队员携带医疗防护物资及生活物资，从南京出发，奔赴武汉！市委书记齐家滨、市委常委、市委秘书长方国强、副市长陈正春、市卫生健康委党委书记、主任朱柏松及队员家属、单位同事等在行政中心为他们送行。 [组图共6张] 原图 ,,"http://ww4.sinaimg.cn/large/9bf793c7gy1gbr2jhdaldj20go0b4dic.jpg,http://ww1.sinaimg.cn/large/9bf793c7gy1gbr2jhfddbj20go0b476c.jpg,http://ww4.sinaimg.cn/large/9bf793c7gy1gbr2jheh6bj20go0cimze.jpg,http://ww4.sinaimg.cn/large/9bf793c7gy1gbr2jhg5l0j20go0ci0v7.jpg,http://ww1.sinaimg.cn/large/9bf793c7gy1gbr2jheqoqj20go0b40us.jpg,http://ww1.sinaimg.cn/large/9bf793c7gy1gbr2jhfvb2j20go0cv41s.jpg",无,无,2020-02-10 09:55,搜狗高速浏览器,110,12,22
ItrWyks38,【常州出台20条“硬核”举措 应对疫情助力企业恢复生产！】为有力支持受到疫情严重影响、生产经营遇到困难的法人企业，以及全市疫情防控相关重点企业、重点单位坚定信心、渡过难关，市政府今天（2月9日）出台了相关政策意见，明确了加大金融支持力度、实施稳岗就业政策、切实减轻企业负担、精心精准服务企业、落实财政扶持政策等五个方面20条“硬核”举措！ http://t.cn/A6hvC1H9 ,,无,无,无,2020-02-09 22:47,微博 weibo.com,56,14,40
Itpegw9m1,【英雄集结，驰援湖北】疫情就是命令。2月9日凌晨，江苏省组建新一批援助湖北医疗队，星夜准备，火速出征。2月9日下午1点30分，常州30名队员齐集市行政中心，他们将从南京禄口机场和省内各市其他队员一起出发，奔赴湖北。市人民政府代市长陈金虎、副市长陈正春、市卫健委领导，以及队员家属、各单位医务人员代表等为他们送行。 http://t.cn/8DemHZo http://t.cn/A6PsCxXg 显示地图 ,,无,无,http://t.cn/A6PsCxXg,2020-02-09 15:52,iPhone客户端,288,25,83
ItnKbjUF0,至2月9日12点，常州市新冠肺炎患者治愈出院共计6人。  原图 ,,http://wx1.sinaimg.cn/large/9bf793c7gy1gbq0p6dkr7j20rs1iotkf.jpg,无,无,2020-02-09 12:05,专业版微博,374,12,46
ItnGrlFjN,捐给武汉！“常州公民”扔下50万现金转身就走 捐给武汉！“常州公民”扔下50万现金转身就走  ,,无,无,无,2020-02-09 11:56,微博 weibo.com,128,13,28
Itnggf4fo,坐火车过安检摘口罩会造成病毒传播吗？权威解答！http://t.cn/A6PF9ALk  ,,无,无,无,2020-02-09 10:52,专业版微博,25,0,15
IthhqAZ1e,#新型冠状病毒感染肺炎# 常州二院援鄂医疗队在武汉前线给全市人民发来元宵祝福！祝愿你们平安归来 常州·常州二院阳湖院区 微常州的微博视频  显示地图 ,,无,无,#新型冠状病毒感染肺炎#,2020-02-08 19:38,iPhone客户端,572,24,84
ItgryqDmS,广大市民朋友：我市在排查确诊的新型冠状病毒感染的病例时，进一步运用大数据手段，发现病例30、31的活动轨迹，现紧急寻找密切接触人员。  原图 ,,http://wx2.sinaimg.cn/large/9bf793c7gy1gbp4hpbi42j20dc1yw13d.jpg,无,无,2020-02-08 17:30,360安全浏览器,207,9,81
ItglFvK7L,【警方通报】@平安常州  原图 ,,http://wx1.sinaimg.cn/large/9bf793c7gy1gbp426hyrxj20kn1bq4qp.jpg,无,无,2020-02-08 17:16,360安全浏览器,81,38,88
Itg5937T6,关于开通常州高速公路供应物资专用通道的通告  原图 ,,http://wx1.sinaimg.cn/large/9bf793c7gy1gbp2w38smcj20mi0mzq5d.jpg,无,无,2020-02-08 16:35,360安全浏览器,13,2,9
Ite4Ht3g7,【情况通报】根据省卫健委2月8日发布，2020年2月7日0-24时，常州市新增新型冠状病毒肺炎确诊病例2例，全市累计报告新冠肺炎确诊病例31例，其中，出院病例5例。  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/9bf793c7gy1gbou18v7cej20dc0t70vg.jpg,http://ww3.sinaimg.cn/large/9bf793c7gy1gbou18wsxcj20fd0lwn1o.jpg",无,无,2020-02-08 11:29,360安全浏览器,237,15,115
Ite3gwIF3,【江苏疫情防控期间房屋市政工程复工指南】当前正值疫情防控的关键时期，全省房屋市政工程如何复工？江苏省住建厅下发“指导意见”，要求做好全省房屋市政工程复工疫情防控和安全生产工作。施工工地现场必须达到疫情防控和安全生产规定要求后，方可进入复工流程。江苏疫情防控期间房屋市政工程复工指南来了！明确一整套复工指导流程和要求  ,,无,无,无,2020-02-08 11:25,皮皮时光机,6,2,0
ItdVrzpbq,《致全市企业家的一封信》：恳请全市广大企业家进一步行动起来，坚定信心，同心协力，切实担负好防控疫情、守护安全的使命责任，在疫情防控阻击战中展现企业家的担当与形象。http://t.cn/A6PefAYK  ,,无,无,无,2020-02-08 11:06,皮皮时光机,37,4,23
It8Nz9ImO,#辟谣# 近日，微信群、朋友圈转发这样一条信息称：“今天夜里0时起，常州所有路口全部亮起红灯，意味着机动车不能动。”经核实，此为谣言信息。  原图 ,,http://wx2.sinaimg.cn/large/9bf793c7gy1gbo6qo59lpj20pq0hfgov.jpg,无,无,2020-02-07 22:03,iPhone客户端,28,4,52
It6OgtXRn,【关于紧急扩散寻找相关接触者的通知】广大市民朋友：我市在排查确诊的新型冠状病毒感染的病例时，进一步运用大数据手段，发现病例28、29的活动轨迹，现紧急寻找密切接触人员。  原图 ,,http://wx2.sinaimg.cn/large/9bf793c7gy1gbnxykz88sj20dc2nl7fb.jpg,无,无,2020-02-07 16:59,360安全浏览器,20,21,61
It6aEFdt5,【关于紧急扩散寻找相关接触者的通知】广大市民朋友：我市在排查确诊的新型冠状病毒感染的病例时，进一步运用大数据手段，发现第27例确诊病例（男性）曾于1月22日18：47-20：43与多位朋友在海底捞火锅店（新北区丰臣国际）就餐，桌号为93号，同桌就餐的共有5人（男性4人，女性1人），其中2人已被确诊为新型冠状病毒感染的肺炎病例，3人已实施医学观察。@海底捞火锅 原图 ,,http://wx3.sinaimg.cn/large/9bf793c7gy1gbnv4hrmyij20dc0oh40v.jpg,无,无,2020-02-07 15:21,360安全浏览器,17,17,25
It65EoJJd,【关于近期自驾前往常州国际机场乘机的重要提醒】如您选择从高速自驾前往常州机场，请您务必从G42沪蓉高速薛家出口处下高速。为配合新型冠状病毒肺炎疫情防控要求，保证您顺利自驾前往常州国际机场，请您提前主动联系机场卡口派驻人员且告知人员及车辆信息，感谢您的理解与支持。联系电话：18912336920。 ,,无,无,无,2020-02-07 15:09,iPhone客户端,11,5,26
